Name,Data (protocols),Datasheet,Electrical Interface Standard,High level notes,MCU,Manufacturer,Other notes,Product page
NANOMIND HP MK3,"CAN; RS422; RS485; SPI; SpaceWire; USB",https://gomspace.com/wp-content/uploads/2025/09/gs-ds-NanoMind_HP_MK3_DS_-_1036210_-_1_-_31_-_1.pdf,,"High performance (ARM dual core); FPGA included",Xilinx Zynq 7030 (FPGA + ARM) [product page],GOMSPACE,"Flew on SDR MK III; has PPS",https://gomspace.com/product/nanomind-hp-mk3/
NANOMIND A3200,"CAN; Cubesat Space Protocol; I2C; SPI; UART",https://gomspace.com/wp-content/uploads/2025/09/NanoMind_A3200.pdf,,Tiny,"Atmel AT32UC3C MCU / AVR32 MCU",GOMSPACE,,https://gomspace.com/product/nanomind-a3200/
iOBC,"GPIO; I2C; RS232; RS422; RS485; SPI; UART; USB",https://satsearch.s3.eu-central-1.amazonaws.com/datasheets/satsearch_datasheet_s4f165_isis_isis_on_board_computer.pdf?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAJLB7IRZ54RAMS36Q%2F20260320%2Feu-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260320T044858Z&X-Amz-Expires=86400&X-Amz-Signature=e6a93d09de1f12eaa1e94239270301cb308192ccf217732f0f4165bf3e6c2147&X-Amz-SignedHeaders=host,,,Some Atmel ARM9 (32-bit ARM9) [datasheet],ISISPACE,,https://satsearch.co/products/isis-isis-on-board-computer
Main Bus Unit SatBus 3C2,"CAN; I2C; SPI; UART; USB",,,"No datasheet; includes ADCS",,NanoAvionics,,https://nanoavionics.com/cubesat-components/cubesat-on-board-computer-main-bus-unit-satbus-3c2/
[the] ONBOARD COMPUTER,I2C,[reg walled],PC104,Option to include GNSS receiver,ARM Cortex M7,EnduroSat,,https://www.endurosat.com/products/onboard-computer
STM32L4 PC/104 academic OBC,CAN,,PC104,pc 104 cubesat design,STM32L4—ARM-based,VST104 thesis design,,https://www.researchgate.net/publication/353125383_On-board_computer_for_PC104_format_CubeSats
CubeComputer V4.1,"CAN; I2C; SPI; UART",https://www.cubesatshop.com/wp-content/uploads/2016/06/CubeComputer-V4.1-Datasheet-v1.3.pdf,PC104,"General-purpose CubeSat OBC; Piggyback header—mission specific expansion"," 32-bit ARM Cortex-M3 based MCU",CubeSpace,Used as ADCS OBC on QB50 precursor satellites,https://www.cubesatshop.com/wp-content/uploads/2016/06/CubeComputer_Brochure_2016_01.pdf
OBC - P4,CAN,request on satsearch,,"four OBC modules; hot/cold redundancy solutions","ARM Cortex-M7 ",Space Inventor," FreeRTOS(tm) real time operating system",https://satsearch.co/products/space-inventor-obc-p4
CFC-300,"CAN; I2C; RS422; RS485; SPI; SpaceWire",https://satcatalog.s3.amazonaws.com/components/433/SatCatalog_-_Innoflight_-_CFC-300_-_Datasheet.pdf?lastmod=20210708055823,," general-purpose; high performance",Xilinx Zynq SoC with dual-core ARM Cortex-A9 and FPGA fabric,Innoflight,"Fully on-orbit programmable; FPGA bit streams reloadable",https://satsearch.co/products/innoflight-compact-flight-computer-cfc-300
Sirius OBC LEON3FT,"CAN; GPIO; RS422; RS485; SpaceWire",https://www.aac-clyde.space/wp-content/uploads/2021/10/AAC_DataSheet_Sirius-OBC.pdf,SpaceWire 50 Mbps,"Reliable high-performance for advanced missions; designed and qualified for five years in LEO","32-bit LEON3FT (IEEE-1754 SPARC v8) fault-tolerant processor",AAA Clyde Space,,https://www.aac-clyde.space/what-we-do/space-products-components/command-data-handling/smallsat-sirius-obc
