Connector,Pin,ISO,LibreCube,Pumpkin,EnduroSat,Simera
H1,1,,CAN_A_L,IO,CANL,IO
H1,2,,CAN_B_L,IO,,IO
H1,3,,CAN_A_H,IO,CANH,IO
H1,4,,CAN_B_H,IO,,IO / PowerCtrl / LVDS6-
H1,5,,UART_A,IO,,IO / PowerCtrl / LVDS6+
H1,6,,UART_B,IO,,IO / PowerCtrl / LVDS6+
H1,7,,UART_A,IO,,IO / PowerCtrl / LVDS7+
H1,8,,UART_B,IO,,IO / PowerCtrl / LVDS7+
H1,9,,,IO,,IO / PowerCtrl / LVDS7-
H1,10,,,IO,,IO / PowerCtrl / LVDS7-
H1,11,,,IO,,IO / PowerCtrl / LVDS3-
H1,12,,,IO,,
H1,13,,UART_C,IO,,IO / PowerCtrl / LVDS3+
H1,14,,,IO,,IO / PowerCtrl / LVDS3+
H1,15,,UART_C,IO,,IO / PowerCtrl
H1,16,,,IO,,IO / PowerCtrl
H1,17,,,IO,,IO
H1,18,,,IO,,IO
H1,19,,,IO,PAY_TX,IO
H1,20,,,IO,PAY_RX,IO
H1,21,,,IO,PAY_SCL,IO / SCL
H1,22,,UART_D,IO,,IO
H1,23,,,IO,PAY_SDA,IO / SDA
H1,24,,UART_D,IO,,IO
H1,25,,5V_PERM,-FAULT,,
H1,26,,5V_PERM,VREF0,,
H1,27,,,current SENSE,,
H1,28,,,VREF1,,
H1,29,,,-RESET,,IO / LVDS5-
H1,30,,,VREF2,,IO
H1,31,,CHARGE,OFF_VCC,,IO
H1,32,,CHARGE,+5V_USB,,IO / LVDS5+
H1,33,,GND,PWR_MHX,UHF RX,IO
H1,34,,GND,-RST_MHX,,
H1,35,,,-CTS_MHX,UHF TX,IO / LVDS2-
H1,36,,,-RTS_MHX,,
H1,37,,,-DSR_MHX,,
H1,38,,UART_E payload,-DTR_MHX,,
H1,39,,,TXD_MHX,SYS_TX,IO / LVDS2+
H1,40,,UART_E payload,RXD_MHX,SYS_RX,IO
H1,41,SDA,,SDA_SYS,SYS_SDA,IO / SDA
H1,42,,UART_F payload,VBACKUP,,
H1,43,SCL,,SCL_SYS,SYS_SCL,IO / SCL
H1,44,,UART_F payload,reserved,,
H1,45,,PWR_ENA,reserved,,1-Wire VCC
H1,46,,PWR_ENA,PPS,,1-Wire data
H1,47,,PWR_ENA,USER,,5 V opt
H1,48,,PWR_ENA,USER,,
H1,49,,PWR_ENA,USER,,5 V opt
H1,50,,PWR_ENA,USER,,
H1,51,,PWR_ENA,USER,,5 V opt
H1,52,,PWR_ENA,USER,,
H2,1,,PWR_ENA,IO,,
H2,2,,PWR_ENA,IO,,
H2,3,,PWR_ENA,IO,OBC_OUT1,
H2,4,,PWR_ENA,IO,OBC_OUT2,
H2,5,,PWR_ENA,IO,OBC_OUT3,
H2,6,,PWR_ENA,IO,EN_OBC,
H2,7,,PWR_ENA,IO,OBC_OUT5,
H2,8,,PWR_ENA,IO,OBC_OUT6,
H2,9,,PWR_ENA,IO,SPI MISO,
H2,10,,PWR_ENA,IO,SPI MOSI,
H2,11,,PWR_ENA,IO,SPI SCK,
H2,12,,PWR_ENA,IO,,
H2,13,,PWR_ENA,IO,SPI TR,5 V opt
H2,14,,PWR_ENA,IO,,
H2,15,,PWR_ENA,IO,SPI CS,5 V opt
H2,16,,PWR_ENA,IO,SPI IRQ,5 V opt
H2,17,,PWR_ENA,IO,,IO / PowerCtrl / LVDS4-
H2,18,,PWR_ENA,IO,,IO / PowerCtrl / LVDS4-
H2,19,,PWR_ENA,IO,,IO / PowerCtrl / LVDS4+
H2,20,,PWR_ENA,IO,,IO / PowerCtrl / LVDS4+
H2,21,,PWR_ENA,IO,,IO
H2,22,,PWR_ENA,IO,,IO
H2,23,,PWR_ENA,IO,,
H2,24,,PWR_ENA,IO,,
H2,25,5V,5V,+5V_SYS,+5V,5 V opt
H2,26,5V,5V,+5V_SYS,+5V,5 V opt
H2,27,3.3V,,VCC_SYS,+3.3V,
H2,28,3.3V,,VCC_SYS,+3.3V,
H2,29,GND,GND,DGND,GND,+5 V return
H2,30,GND,GND,DGND,GND,+5 V return
H2,31,GND,GND,AGND,GND,
H2,32,GND,GND,DGND,GND,+5 V return
H2,33,,PWR_ENA,S,,
H2,34,,PWR_ENA,S,,
H2,35,,PWR_ENA,S,,
H2,36,,PWR_ENA,S,,
H2,37,,PWR_ENA,S,,
H2,38,,PWR_ENA,S,,
H2,39,,PWR_ENA,S,,
H2,40,,PWR_ENA,S,,
H2,41,,,S,,
H2,42,,,S,,
H2,43,,,S,,
H2,44,,,S,,
H2,45,,battery,VBATT,,
H2,46,,battery,VBATT,,
H2,47,,,USER,payload SPI,IO / LVDS1-
H2,48,,,USER,payload SPI,IO
H2,49,,RBF_A,USER,payload SPI,IO
H2,50,,RBF_B,USER,payload SPI,IO / LVDS1+
H2,51,,deployment switch A,USER,,
H2,52,,deployment switch B,USER,,
